date	Restaurant_ID
1996-09-07 12:17:05	110
1996-09-07 12:21:57	77
1996-09-07 12:23:36	475
1996-09-07 12:25:14	537
1996-09-07 15:18:38	476
1996-09-07 16:32:18	415
1996-09-07 17:26:27	101
1996-09-07 18:11:42	407
1996-09-07 19:06:16	119
1996-09-07 19:11:43	457
1996-09-07 19:19:17	463
1996-09-07 20:21:33	122
1996-09-07 23:22:57	122
1996-09-07 23:25:09	302
1996-09-07 23:27:20	334
1996-09-07 23:28:09	17
1996-09-07 23:46:42	491
1996-09-07 23:48:32	185
1996-09-07 23:51:16	312
1996-09-07 23:52:47	671
1996-09-07 23:54:45	496
1996-09-08 00:08:36	537
1996-09-08 07:45:23	457
1996-09-08 07:47:15	44
1996-09-08 09:45:47	457
1996-09-08 15:17:04	455
1996-09-08 15:36:43	455
1996-09-08 15:40:57	507
1996-09-08 17:48:01	106
1996-09-08 18:58:32	222
1996-09-08 21:24:55	203
1996-09-09 13:48:40	127
1996-09-09 13:59:47	289
1996-09-09 13:51:14	458
1996-09-09 14:09:21	90
1996-09-09 14:19:14	377
1996-09-09 14:20:50	418
1996-09-09 15:56:14	222
1996-09-09 15:55:13	275
1996-09-09 16:10:04	334
1996-09-09 16:17:28	246
1996-09-09 16:49:21	669
1996-09-09 19:07:45	5
1996-09-08 19:11:48	353
1996-09-08 19:44:15	159
1996-09-09 21:20:12	555
1996-09-09 21:22:05	222
1996-09-09 21:32:32	432
1996-09-10 01:00:04	202
1996-09-10 04:28:51	462
1996-09-10 04:36:20	559
1996-09-10 04:40:08	627
1996-09-10 04:41:07	242
1996-09-10 07:05:44	553
1996-09-10 07:15:32	665
1996-09-10 08:10:43	122
1996-09-10 10:56:14	428
1996-09-10 11:00:14	428
1996-09-10 11:02:01	12
1996-09-10 11:02:21	3
1996-09-10 11:02:33	134
1996-09-10 07:04:05	543
1996-09-10 13:58:01	580
1996-09-10 14:17:38	464
1996-09-10 16:17:23	275
1996-09-10 16:38:48	166
1996-09-10 16:38:45	77
1996-09-10 16:40:24	89
1996-09-10 17:13:38	543
1996-09-10 17:17:31	610
1996-09-10 17:26:08	316
1996-09-10 19:30:33	353
1996-09-10 23:08:59	460
1996-09-10 23:12:19	407
1996-09-10 23:18:17	549
1996-09-10 23:19:43	53
1996-09-11 01:28:17	73
1996-09-11 08:00:11	205
1996-09-11 08:24:18	14
1996-09-11 08:31:52	244
1996-09-11 08:37:22	609
1996-09-11 10:57:57	51
1996-09-11 14:24:23	421
1996-09-10 14:01:27	359
1996-09-11 15:15:24	646
1996-09-11 15:18:20	165
1996-09-11 15:21:01	95
1996-09-11 16:01:23	298
1996-09-11 16:14:46	166
1996-09-11 16:15:49	44
1996-09-11 16:20:43	99
1996-09-11 16:36:21	469
1996-09-11 16:59:49	397
1996-09-11 18:17:05	635
1996-09-11 18:22:02	203
1996-09-11 18:26:25	275
1996-09-11 18:29:53	671
1996-09-11 18:35:26	90
1996-09-11 18:43:51	49
1996-09-11 18:48:39	315
1996-09-07 12:27:48	500
1996-09-11 18:56:41	465
1996-09-11 18:59:08	485
1996-09-11 19:02:54	620
1996-09-11 19:05:23	348
1996-09-11 15:20:59	127
1996-09-12 08:47:36	478
1996-09-12 08:48:27	133
1996-09-12 08:49:20	77
1996-09-12 08:50:17	227
1996-09-12 14:07:01	89
1996-09-12 14:08:16	421
1996-09-12 14:09:19	299
1996-09-12 14:12:32	624
1996-09-12 14:59:12	144
1996-09-12 14:49:40	437
1996-09-12 15:17:05	437
1996-09-12 15:02:28	277
1996-09-12 15:18:33	542
1996-09-12 15:20:58	544
1996-09-12 16:43:46	192
1996-09-12 16:48:42	569
1996-09-12 16:53:14	553
1996-09-12 16:56:08	338
1996-09-12 16:59:36	262
1996-09-12 17:03:02	445
1996-09-09 21:02:29	671
1996-09-09 21:27:16	2
1996-09-12 20:02:36	402
1996-09-12 20:07:55	70
1996-09-12 22:15:48	183
1996-09-12 22:18:17	331
1996-09-12 22:20:12	220
1996-09-12 22:21:41	560
1996-09-12 23:27:52	529
1996-09-12 23:49:10	246
1996-09-13 02:20:02	466
1996-09-13 09:09:26	335
1996-09-13 10:11:37	122
1996-09-13 10:13:44	585
1996-09-13 10:15:40	330
1996-09-13 10:17:07	501
1996-09-13 10:24:47	619
1996-09-13 10:27:37	96
